geonameid,name,asciiname,alternatenames,latitude,longitude,country_code,population,timezone,tz_offset_min,metro_tier,slug,bbox_wkt
1796236,Shanghai,Shanghai,"SHA,San'nkae,Sanchajus,Sangaj,Sangay,Sanghaj,Sanghay,Sanhaja,Sanhajo,Sanxay,Schanghai,Shang-hai,Shang-hai-shih,Shangai,Shangaj,Shanghai,Shanghai City,Shankhaj,Shànghǎi,Sjanghae,Sjanghai,Sjanghæ,Szanghaj,Thuong Hai,Thượng Hải,Xangai,cankay,hu,sangha'i,sanghae,sanghai,seiynghi,shang hai,shang hai shi,shanghay,shanghhay,shanhai,zhong guo shang hai,Ŝanhajo,Şangay,Şanghay,Şanxay,Šanchajus,Šangaj,Šanghaj,Šanhaja,Σανγκάη,Шангај,Шанхай,שאנגחאי,شانغهاي,شانگهای,شاڭخەي,شاڭخەي شەھىرى,সাংঘাই,சாங்காய்,เซี่ยงไฮ้,ཧང་ཧའ་གང་ཁར།,ཧྲང་ཧའེ་གྲོང་ཁྱེར།,შანჰაი,上海,上海市,中国上海,沪,상하이,상해",31.22222,121.45806,CN,24874500,Asia/Shanghai,480,1,shanghai-cn,
1816670,Beijing,Beijing,"BJS,Bac Kinh,Baek-ging,Baekging,Behehzhin,Beijing,Beijing City,Beijing Shi,Beising,Beixin,Beixín,Bejdzing,Bejdżing,Bejing,Beyjing,Beȝcinȝ,Báe̤k-gĭng,Béising,Bắc Kinh,Pechin,Pechino,Pechinu,Pechinum,Pecinum,Pei-ching,Pei-ching-shih,Pei-p'ing,Pei-p'ing-shih,Peken,Pekin,Pekin',Pekina,Pekinas,Peking,Pekini,Pekino,Pekín,Pekîn,Peping,Pequim,Pequin,Pequín,Pet-kin,Pet-kîn,Peycing,Pikkin,Pèquin,Pékin,Péqùin,Péycing,be'ijim,be'ijina,be'ijinga,bei jing,bei jing shi,beidjin,beijing,bijiga,bijing,bijinga,bkyn,buggyeong,byjng,bykyn,byyg'yng,byyzsyng,pakking,peyjin,pkn,Πεκίνο,Бейжің,Бээжин,Бәәҗң балһсн,Пекин,Пекинг,Пекін,Пекінґ,Պեկին,בייג'ינג,בייזשינג,بكين,بيكين,بیجنگ,بېجینګ,بېيجىڭ,بېيجىڭ شەھىرى,پکن,پێکەن,ބީޖިންގ,बीजिंग,बेइजिङ,বেইজিং,ਬੀਜਿੰਗ,બેઇજિંગ,பெய்ஜிங்,బీజింగ్,ಬೀಜಿಂಗ್,ബെയ്‌ജിങ്ങ്‌,බෙයිජිං,ปักกิ่ง,པེ་ཅིང་གྲོང་ཁྱེར།,ပေကျင်းမြို့,პეკინი,ቤዪጂንግ,ប៉េកាំង,北京,北京市,베이징,북경",39.9075,116.39723,CN,18960744,Asia/Shanghai,480,1,beijing-cn,
1795565,Shenzhen,Shenzhen,"Bao'an,Chhum-chun-su,Chhṳ̂m-chun-sṳ,Pao-an,Pao-an-hsien,SZX,Sen-cen,Sencsen,Sendzenas,Senjeno,Senzden,Senzen,Sham Chun Hu,Shehn'chzhehn',Shen'chzhen',Shen-ch'uan,Shen-ch'uan-chen,Shen-ch'uan-hsu,Shen-ch'üan,Shen-ch'üan-chen,Shen-ch'üan-hsü,Shen-chen,Shen-chun,Shendzen,Shenzen,Shenzhen,Shiem Chun,Shumchun,Shumchün,Shundzhun,Tham Quyen,Thâm Quyến,Tschhimtschun,cenccen,sainazaina,sein cein,senacena,sencena,senjhena,seonjeon si,shen zhen,shen zhen shi,shensen shi,shynzhyn,shynzyn,simcheon,sng'n,Ŝenĵeno,Šen-čen,Šendženas,Šenžden,Šenžen,Шеньчжень,Шенџен,Шънджън,Шэньчжэнь,שנג'ן,شن‌ژن,شينزين,شینژین,شېنجېن شەھىرى,शेन्झेन,षेंचेन,শেনচেন,ਸ਼ੈਨਜ਼ੈਨ,சென்ச்சென்,షెన్‌జెన్,เซินเจิ้น,深セン市,深圳,深圳市,선전 시,심천",22.54554,114.0683,CN,17494398,Asia/Shanghai,480,1,shenzhen-cn,
1809858,Guangzhou,Guangzhou,"CAN,Cantao,Canton,Cantão,Cantón,Fan-yu,Fan-yü,Guanchjou,Guanchzhou,Guanczou,Guand'ou,Guandzhou,Guandzou,Guandžou,Guangdzou,Guangdzov,Guangdžou,Guangdžov,Guangjow,Guangsu,Guangzhou,Guangzhou Shi,Guanzhou,Guančžou,Guaңҗu,Guong-ciu,Guōng-ciŭ,Gvangjcouh,Kanton,Kantono,Kng-chiu-chhi,Kong-chu-su,Kouan'nktsoou,Kouang-chou,Kuang-chou,Kuang-chou-shih,Kwang-chowfu,Kwangchow,Kwangtsjou,Kóng-chû-sṳ,Kńg-chiu-chhī,P'an-yu,Puyun,Puyün,P’an-yü,Quancheum,Quancjou,Quang Chau,Quançjou,Quảng Châu,Shengcheng,ghwanzw,gu'angazu,guang zhou,guang zhou shi,guanjou,guyanjho,gvangajho'u,gvanjea,gwangjeou,gwangjeou si,gwangzhw,gwʼnggwʼw,kantwn,kuvanco,kvangacau,kwang cow,shynyang,Κουανγκτσόου,Гуангџоу,Гуанджоу,Гуандьоу,Гуанжоу,Гуанчжоу,Гуанчжоў,Гуаңҗу,Кантон,Գուանչժոու,גואנגגואו,شینیانگ,غوانزو,کانتون,گوانگژو,گوانگ‌ژو,گۇاڭجۇ شەھىرى,क्वांगचौ,ग्वांगझोउ,গুয়ংঝো,ਗੁਆਂਗਜ਼ੂ,குவாங்சோ,ഗ്വാങ്ജോ,กว่างโจว,ກວ່າງໂຈວ,ཀོང་ཀྲོའུ་གྲོང་ཁྱེར།,ကွမ်ကျိုးမြို့,გუანჯოუ,广州,广州市,広州,広州市,廣州,廣州市,광저우,광저우 시",23.11667,113.25,CN,16096724,Asia/Shanghai,480,1,guangzhou-cn,
2314302,Kinshasa,Kinshasa,"FIH,Kincasa,Kinchasa,Kinchassa,Kinsas,Kinsasa,Kinsaso,Kinshasa,Kinshase,Kinsjasa,Kinszasa,Kinsásá,Kinxasa,Kinŝaso,Kinşasa,Kinšas,Kinšasa,Kînşasa,Leopoldstad,Leopoldville,Léopoldville,Quinxassa,jin sha sa,jin xia sha,kin cha sa,kinasasa,kinsaca,kinsasa,kinshasa,kinsyasa,knshasa,kynshasa,lei bao cheng,Κινσάσα,Киншаса,Киншасе,Кіншаса,Կինշասա,קינשאזע,קינשאסה,كينشاسا,کنشاسا,کنشاسہ,کینشاسا,किन्शासा,কিনশাসা,ਕਿਨਸ਼ਾਸਾ,கின்ஷாசா,കിൻഷസ,กินชาซา,ཀིན་ཤ་ས།,ကင်ရှာဆာမြို့,კინშასა,ኪንሻሳ,キンシャサ,金夏沙,金沙薩,雷堡城,킨샤사",-4.32758,15.31357,CD,16000000,Africa/Kinshasa,60,1,kinshasa-cd,
745044,Istanbul,Istanbul,"Bizanc,Bizánc,Byzance,Byzantion,Byzantium,Byzanz,Carigrad,Constantinoble,Constantinopla,Constantinople,Constantinopolen,Constantinopoli,Constantinopolis,Costantinopoli,Estambul,IST,Istamboul,Istambul,Istambuł,Istampoul,Istanbul,Istanbúl,Isztambul,Konstantinapoly,Konstantinopel,Konstantinopol,Konstantinopolo,Konstantinoupoli,Konstantinoupolis,Konstantinápoly,Kustantiniyah,Micklagard,Micklagård,Mikligardur,Mikligarður,Stamboul,Stambul,Stambula,Stambuł,Tsarigrad,Vizantija (Vizantija),Vyzantio,astnbwl,bijantium,byuzantion,byzntywn,iseutanbul,istambula,isutanburu,stin Poli [stimˈboli],yi si tan bao,yi si tan bu er,İstanbul,Βυζάντιο,Βυζαντιο,Ισταμπουλ,Ισταμπούλ,Κωνσταντινουπολη,Κωνσταντινούπολη,Κωνσταντινούπολις,στην Πόλι [stimˈboli],Византија (Vizantija),Истанбул,Стамбул,ביזנטיון,اسطنبول,इस्तांबुल,ইস্তাম্বুল,イスタンブール,ビュザンティオン,伊斯坦堡,伊斯坦布尔,비잔티움,이스탄불",41.01384,28.94966,TR,15701602,Europe/Istanbul,180,1,istanbul-tr,
2332459,Lagos,Lagos,"Eko,LOS,Lacupolis,Lagas,Lagos,Lagos shaary,Lagosa,Lagosas,Lagoso,Laguosos,Laqos,Logos,la ge si,lageas,laghws,lagos,lagosa,lagoseu,lagosi,laguseu,lagws,lajws,lakos,legosa,lek xs,ragosu,Èkó,Λάγος,Лагас,Лагос,Лагос шаары,Лаґос,Լագոս,לאגאס,לאגוס,لاجوس,لاغوس,لاگوس,لاگۆس,लागोस,লেগোস,ਲਾਗੋਸ,લાગોસ,லாகோஸ்,లాగోస్,ಲಾಗೊಸ್,ലാഗോസ്,เลกอส,လေးဂို့စ်မြို့,ლაგოსი,ሌጎስ,ラゴス,拉哥斯,라고스,라구스",6.45407,3.39467,NG,15388000,Africa/Lagos,60,1,lagos-ng,
1815286,Chengdu,Chengdu,"CTU,Ccheng-tu,Cendu,Cengdu,Cengduo,Ch'eng-tu,Ch'eng-tu-hsien,Ch'eng-tu-shih,Chehndu,Chendu,Chengdu,Chengdu Shi,Chengdú,Chundu,Chөndү,Ch’eng-tu,Ch’eng-tu-hsien,Ch’eng-tu-shih,Csengtu,Cwngzduh,Hua-yang,Sang-tu-su,Seng-to-chhi,Sing-du,Sàng-tû-sṳ,Sêng-to͘-chhī,Sìng-dŭ,Thanh Do,Thành Đô,Tsen'nkntou,Txengdu,cengadu,centu,chantu,cheing tu,cheng dou,cheng dou shi,cheongdu si,chngdw,chyngdw,chېngdۇ shەھyr,tshnghdw,zngdw,Çengdu,Ĉengduo,Čcheng-tu,Čendu,Čengdu,Τσενγκντού,Ченгду,Ченду,Чънду,Чыңду,Чэнду,Чөндү,Չենդու,צנגדו,تشنغدو,چنگدو,چینگدو,چېڭدۇ شەھىر,चेंगदू,छंतू,ਚੇਂਗਦੂ,செங்டூ,เฉิงตู,ချင်းဒူမြို့,成都,成都市,청두 시",30.66667,104.06667,CN,13568357,Asia/Shanghai,480,1,chengdu-cn,
1172451,Lahore,Lahore,"LHE,Lachori,Lahaur,Lahor,Lahora,Lahoras,Lahore,Lahorium,Lahoro,Lakhor,Lohur,Láhaur,Lâhore,Lāhaur,la h xr,la he er,lahaura,laholeu,lahor,lahora,lahori,lahwr,lakur,lwہwr,rahoru,Λαχόρη,Лахор,Լահոր,לאהור,لاهور,لاھور,لاھۆر,لاہور,لوہوٗر,لہور,लाहोर,लाहौर,লাহোর,ਲਹੌਰ,લાહોર,லாகூர்,లాహోర్,ಲಾಹೋರ್,ലാഹോർ,ลาฮอร์,ლაჰორი,ラホール,ラーホール,拉合尔,拉合爾,라호르",31.558,74.35071,PK,13004135,Asia/Karachi,300,1,lahore-pk,
1275339,Mumbai,Mumbai,"Asumumbay,BOM,Bombai,Bombaim,Bombaj,Bombay,Bombaya,Bombej,Bombejus,Bombėjus,Bumbaj,Bůmbaj,Dakbayan sa Bombay,Lungsod ng Mumbai,Moembaai,Mumbai,Mumbaj,Mumbaja,Mumbajo,Mumbajus,Mumbay,Mumbaî,Numbai,Vomvai,bamba'i,bmbyy,bwmbay,gretara mumba'i,meng mai,mmbay,mmbyy,mu0bai,muba'i,mum bi,mumba'i,mumbai,mumpai,munbai,mwmbay,mwmbyy,mymbais,pullapa mumba'i,Βομβάη,Бомбай,Бомбей,Мумбаи,Мумбай,Мумбаі,Мумбаї,Мумбај,Մումբայ,מומבאי,מומביי,بمبئی,بومباي,بَمبَے,ممبئي,ممبئی,ممبای,مومباى,مومباي,مومبای,މުންބާއީ,ग्रेटर मुम्बई,बम्बई,मुंबई,मुम्बई,পুল্লাপ মুম্বাই,মুম্বই,মুম্বাই,ਮੁੰਬਈ,મુંબઈ,ମୁମ୍ବାଇ,மும்பை,ముంబై,ಮುಂಬೈ,ಮು೦ಬೈ,മുംബൈ,มุมไบ,འབོམ་སྦེ,မွမ်ဘိုင်းမြို့,მუმბაი,ムンバイ,孟买,孟買,뭄바이",19.07283,72.88261,IN,12691836,Asia/Kolkata,330,1,mumbai-in,
